,title,revised_salary,rel_title,ranking,category,salary_level,state,suburb
801,Senior Business Analyst,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
804,Senior Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,SydneyCentralBusinessDistrict
809,Data / Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
811,Senior Business Analyst,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
814,Lead Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
815,Business Analyst - Data,189875.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
818,Senior Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
820,Digital Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,NorthShore
822,Data / Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
825,"Business Analyst - BI, Data & Reporting",105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,StLeonards
826,Business Analyst - Data Migration,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
827,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
828,"Data Assurance Business Analyst, 6 month contract, CBD Location",105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
830,Business Analyst,65000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Mascot
837,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
845,Digital Data Analyst - Media,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
846,Data Scientist - New York Opportunity,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
848,"IMS Project Manager, Business Analyst, AVP",105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
849,Business Analyst,107800.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,NorthRyde
850,IT Senior Data Analyst,125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Parramatta
851,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
853,Master Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
856,Asset Administration - Static Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
860,"Insight Analyst / Data Analyst - FTC Sydney, Australia",75000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
865,Business Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
869,Alteryx and tableau - Data Analyst,110000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,SydneyCentralBusinessDistrict
870,Business Analyst,36750.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
872,Functional Business Analyst - Agile - Stakeholder Management - North Sydney,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
876,Big Data Engineer (Data Scientist),125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,SydneyCentralBusinessDistrict
877,Senior Data Analyst,125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
878,Data Scientist,180000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
879,Senior Data Scientist,39200.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,SurryHills
880,Senior Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
881,Business/ Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
887,IT Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
895,Data Analyst | Salesforce | Global Software Business | 12 Month Contract,76440.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
896,Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,SydneyCentralBusinessDistrict
897,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
898,"Business Analyst | $100,000 | Media | AGILE | CBD | Data Migration",100000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
899,TM1 Data Analyst(Developer background),117500.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
900,Business Analyst - Melbourne,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
902,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
903,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
910,Senior Digital Analyst/Data Scientist,135000.0,Data Scientist,Senior,Data ScientistSenior,high,NSW,Sydney
914,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
916,IT Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
920,Technical Data Analyst (Date Warehouse Implementation),85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
922,Finance & Business Analyst ? Multinational Logistics Co.,72500.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Liverpool
924,Technical Business Analyst / Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
926,Data Analyst | Governance,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
927,Business Analyst,82500.0,Business Analyst,Normal,Business AnalystNormal,med,WA,SydneySuburbs
928,Junior Data Scientist,85000.0,Data Scientist,Junior,Data ScientistJunior,low,NSW,Sydney
929,Data Scientist,140000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,SydneyCentralBusinessDistrict
931,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
934,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
936,Senior Business Analyst - Data Science,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Burwood
941,BIG Business Analyst (FMCG),105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,McmahonsPoint
942,Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,SydneyCentralBusinessDistrict
947,Senior Data Analyst,110000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
950,Microsoft Dynamics AX 2012 Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
955,Business Analyst - Government,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
959,Marketing & Campaign Data Analyst,90000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,Sydney
969,Data Scientist - Mobile & Digital,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
979,"Data Scientist - Consultant Sydney, Australia",115000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
981,Business Analyst - Credit Risk,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
983,Finance Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
985,Business Analyst,100000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
992,Finance & Business Analyst – Multinational Logistics Co.,72500.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Liverpool
994,Technical Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
996,IT Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,WA,SydneySuburbs
997,Data Analyst | Governance,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,NorthShore
1000,Senior Business Analyst | Operational,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
1001,Data Scientist,115000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
1005,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,SydneyCentralBusinessDistrict
1012,Technical Business Analyst,115000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1016,Senior Business Analyst,115000.0,Business Analyst,Senior,Business AnalystSenior,high,WA,SydneySuburbs
1017,Business Analyst | Records Management,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1020,Business Analyst Junior,105000.0,Business Analyst,Junior,Business AnalystJunior,low,NSW,Sydney
1025,Business Analyst – Operational Readiness | NSW Government | Sydney Metro,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1030,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,SydneyCentralBusinessDistrict
1031,APS6 Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1037,Business Analyst/Benefit Realisation Specialist - Chatswood,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,NorthSydney
1038,Project Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,SydneyCentralBusinessDistrict
1040,Business Analyst - Global Organisation,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1042,Business Analyst - ID & Access Management (IDAM),105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1043,Technical Business Analyst - Data - SQL - Agile - North Sydney,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1047,Procurement/Business Analyst,68600.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Barangaroo
1052,Business Analyst - Finance!,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1058,Data Scientist / Consultant,130000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,Sydney
1060,Senior Commercial Business Analyst,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,NorthSydney
1061,Senior Business Analyst - Superannuation,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
1062,Senior Business Analyst,145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
1063,Business Analyst / Product Owner,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1067,ICT Business Analyst,183750.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1070,Senior Programmatic Data Analyst at Market-leading AdTech Firm,125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
1077,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1079,data scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,SydneyCentralBusinessDistrict
1080,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1081,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1083,Business Analyst - Onboarding,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1087,Business Analyst,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,Sydney
1088,Senior Business Analyst | Trade Reporting (OTC),145000.0,Business Analyst,Senior,Business AnalystSenior,high,NSW,Sydney
1090,Senior Data Analyst,125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,Sydney
