,description,title,revised_salary,rel_title,ranking,category,salary_level,state,city
826,"Global IT services company is seeking a talented Business Analyst with strong background in Data Migration project for their new insurance client.

This opportunity sits with a large IT services company based in Sydney CBD . They are going through a large program of work with an insurance company and needing a Business Analyst to assist with a Data Migration projects .

CORE RESPONSIBILITIES :
Business analysis planning and monitoring to determine which activities are necessary in order to identify relevant stakeholders, select appropriate techniques and processes to manage requirements and provide a constant assessment of progress
Gather, organise and synthesize large amounts of information from various sources
Working with stakeholders to understand their needs, concerns and the environment that they operate in
Ensure actual needs opposed to stated or superficial needs are addressed and adhered to
Effectively identify and define business needs and problems/issues to enable a feasible solution scope to be developed.
Effectively communicating requirements to stakeholders, managing conflicts, issues and changes in order to ensure that stakeholders and project team members remain in agreement on solution scope
Assess and document the current state of business to identify and recommend improvements and verification and validation of resulting requirements
Contributes to the conversion of business needs into functional designs
Identifies and manages gaps, determining the effectiveness of proposed solutions and developing Business Requirements documents and models
Identify the risks associated with the proposed solution as well as the risk for not implementing the solution

Experience Required :
Business Analyst must have strong Data Conversion / Migration experience
Life Insurance experience would be highly regarded but not essential.
Experience working with cross-functional business and technical teams that includes a mix of in-house, external and client resources.
Data conversion work experience that includes assisting with planning, defining and documenting data conversion requirements, and support business users during the data conversion process.
Implementation and support work experience for business users.
Coordinate the data conversion needs of the new Life system, respecting deadlines and implementation plans.
Contribute to project delivery success by identifying risks and issues that may require changes to plan or scope and assist in the developing of mitigation steps

To be considered for the role click the 'Apply' button or for more information about this and other opportunities please contact Ozzi Fauzy on 02 94645685. Please quote our job reference number: 200181422.

Permanent opportunity

Flexible, friendly working environment

Data Migration, Data Conversion, Life Insurance experience",Business Analyst - Data Migration,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
827,"Our client are looking for a talented Data Analyst to lift their business decision making by querying and drawing insights from business data.

Responsibilities:
Prepare, query datasets from production systems using SQL
Design data processing systems
Natural ability to converse with business & product owners
Business mindset; understand problems and diagnose with a lens of driving key business metrics
Extract, design and develop dashboards
Identify trends, and provide insights, research and benchmarking
Assess performance and results, showing operational needs in the business
Provide learnings and recommendations on future activities based on past trends and outside industry learning
Extract and manipulate information and data from key business systems using Business Intelligence tools
Investigate and understand emerging trends / technologies in the data analysis and information modelling
Capture and execute data extraction requirements that are deemed critical by the decision makers within the business
Perform data mining to create ad-hoc extracts to answer miscellaneous queries
Skills & Experience:
Mastery of SQL
A self starter who will take responsibility for a problem and deliver an end to end solution.
Experience supporting and working with cross-functional teams in a dynamic environment.
Ability to triage, navigate and self-understand complex distributed datasets
Excellent problem solving, critical thinking and communication skills
Advocate for the customer, while balancing business needs
You love working in a smaller group, and thrive at pushing things forward.
Background in business, sales, marketing, CRM and/or event analysis, with proven experience in operating against KPI measures
Previous B2B or B2C experience within marketing or sales analytics – lead acquisition experience ideal
Passion for the use of data analysis to drive strategic decisions
High level attention to detail
Expertise in turning data into relevant insights
Proven ability to extract and manipulate information and data from key business systems using Business Intelligence tools.
Good understanding of emerging trends / technologies in the data analysis and information modelling.
Measuring, analysing, forecasting, budgeting and reporting
High analytical skills, to manage large amounts of data
If this sounds like your next career move then please apply today.",Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,  Sydney 
828,"Seeking a Data Assurance BA with knowledge and experience in data governance practices and best practices with data management.

This opportunity sits within a Large Financial Institution and they are seeking an experienced Data Assurance Business Analyst to work on a large program of work. The successful candidate must have:
Proven experience in working on a successful end-to-end BI and/or data implementation.
Hands on experience in SQL, Teradata, Tableau and/or other BI tools – desirable
Knowledge and experience in data governance practices and best practices with data management. This includes the ability to identify data risks and implement system controls to mitigate those risks
Experience in a project environment working independently with tasks and deadlines, including strong time management and decision making skills
Previous working experience in the Financial Services Industry – desirable to have specific industry experience in Data Governance or complex Data Projects
Skilled in building effective relationships with excellent communication, interpersonal and presentation skills
Experience facilitating workshops and requirements gathering with business stakeholder
Ability to communicate complex requirements to stakeholders across the business
Strong communication, presentation, business analysis and financial management.
Comprehensive documentation of solutions and hands on business analysis.

To be considered for the role click the 'Apply' button or for more information about this and other opportunities please contact Nicola Mc Glinchey on 02 9464 5661. Please quote our job reference number: 200181970.

CBD Location

Initial 6 months contract

Financial Services Experience highly regarded","Data Assurance Business Analyst, 6 month contract, CBD Location",105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
830,"Join our client in the Aviation Industry! This is a great opportunity for someone who loves data. Working with a dynamic team based at the International Airport.

Your key responsibilities but not limited to:
Coordination and scheduling of airport slots. You will be working with Airlines to provide arrival and departure timings
Analysing of schedule data
Developing reports and presentations for Senior Management and External stakeholders
Detailed data analysis using advanced excel skills and our clients' bespoke software system

This is a great opportunity for someone who loves problem-solving and has a true passion for workforce planning and analysis. The organisation has a great onboarding and training program.


Skills and Experience:
Advance Excel
Minimum of 2 -3 years work experience in a business analyst or workforce planning role
strong attention to detail
Ability to travel domestic and internationally
Secondary language an advantage
Outstanding communication both written and verbal",Business Analyst,65000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Mascot 
837,"Role
We are currently looking for consultative Data Analyst's who bring an innovative and out-of-the-box thinking approach to the team and act as a bridge beteween Business and Technical Teams. You will analyze existing solutions and find opportunities of enhancement and new requirement . You will also:
Gather requirements from stake holders, simplify and develop the understandings of requirement
Impact analysis and preparation for changes - planning the next step for new additions
Interpreting data, analysing results using statistical techniques and providing ongoing reports
Designing, Developing, implementing and data integration solutions
Supporting initiatives for data integrity and normalisation
Troubleshooting production issues and implementing fixes
Managing and coordinating release processes
Locating and defining new process improvement opportunities
Providing technical expertise on data integration pipelines, data storage structures and data cleansing
Understand the existing code, jobs and flow of data from existing system –analyze and provide optimizing techniques to it.
Experience

To succeed in this role, you must be able to work in a fast-paced, at times ambiguous and complex environment and tick all the boxes when it comes too:
Banking experience is a MUST
Strong experience in writing Oracle SQL queries
Significant exposure to database and application programming (SQL Server, Teradata, Oracle, SAS, Business Objects, and any major programming language)
Experience with data visualisation tools, such as Tableau
Proven ability to secure data and maintain confidentiality during all stages of a data handling phase.
Knowledge of Web Services technology and application of queries towards meeting various dataset requests.
Established analytical skills with a creative problem-solving approach and the ability to be able to quickly see the big picture.
Proven effective documentation and communication skills.
Superior ability to understand and deconstruct complex data structures to determine a desired and efficient business focused outcome.
Proven ability to assess and interpret information to formulate recommendations and provide specialist advice to enable the organisation to achieve quality outcomes.
About Us: UXC, CSC and HP ES have come together to create one of the largest IT services companies in Australia and New Zealand - DXC Technology.

As part of the DXC group, DXC Consulting provides its employees with an unrivalled opportunity to work with the best clients and IT consultants, as well as the best tools, technologies and expertise in the industry.

Trust, Transform & Thrive with a company whose mission is to lead clients on their digital transformation journeys, DXC Technology will be recognized globally as a force multiplier, enabling clients to seize the opportunities presented by today’s rapidly changing technologies.

DXC Consulting is an Equal Opportunity Employer.
You must be an Australian Permanent Resident to apply for this role Only successful applicants will be contacted.",Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,  Sydney 
845,"Fantastic opportunity for Data Analyst with a passion Media marketing for a contract in an awesome forward thinking company, immediate start

Fantastic opportunity for a Mid-level Data Analyst with a passion for Marketing and Media. You will be responsible for a range of the companies data analysis needs including Campaign Metrics, Content & Data.
This is an autonomous role in an awesome forward thinking Media Company which will give you the freedom and responsibility to own your craft and utilise your Data Skills!
What you will be doing
Responsible for all of the company's data analysis needs you will be the data driving force!
Campaign reporting
Real-time dashboard reporting
Testing; Innovative Testing Analysis- Testing video content and facial coding video testing and formula data interpretation.
Quantitative research
Keeping current with emerging digital technology and data platforms
Touching base with the business, translating reports into laymen's terms and liaising with the developers.
What you will ideally have
2 Years experience in a similar role ideally agency experience
Graduate from an aligned field; Mathematics/Statistics, Analytics, Computer Science, Economics, Business & Marketing, Psychology (Science Stream)
Good attention to detail must
Good SQL skills, Excellent Excell
Excellent communication skills
Passionate and driven personality
Familiarity with social and video ad buying systems, such as Google Ads & Facebook Ads prefereable
Marketing campaign data analysis ideally
Programming skills, ideally with experience in languages commonly used in big data frameworks

If this is the role for you apply today, successful candidates will get called for more info!

To be considered for the role click the 'Apply' button or for more information about this and other opportunities please contact Coral Shankland on 0294645631. Please quote our job reference number: 200181295.

Media & Marketing Domain Campaign, Content, Video, Data Analysis

Awesome Market leading company!

Permanent Opportunity, Eastern Suburbs Beaches",Digital Data Analyst - Media,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,  Sydney 
846,"Our client has just secured 4 massive projects and are in need of Data Scientist's.

This opportunity is only applicable to Australian Citizens as you will be sponsored on an E3 Visa. Spouse and children are covered under this visa and sponsorship costs as well as relocation costs will be covered by the company.

Skills and Experience

Strong Machine Learning background and familiarity with R, WEKA, RASA, etc.
Demonstrated expertise of Java and Python, and general software development skills (source code management, debugging, testing, deployment, etc.)
Significant prior experience with applying Big Data tools (MapReduce, Hadoop, Hive and/or Pig, Spark) to large quantities of textual data
Expertise in various facets of machine learning and NLP
Excellent programming skills, expert knowledge of algorithms and data structures
Strong interest in, and knowledge of Artificial Intelligence and its subfields.
Very good experience in data science techniques like classification, segmentation and regression
Masters or PhD in software engineering, AI or applied mathematics",Data Scientist - New York Opportunity,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,  Sydney 
848,"State Street’s IMS service is an integrated solution of technology, operations and processes for an Investment Manager who has outsourced their core investment operations functions to State Street. This typically includes trade management, settlements, data management, investment recordkeeping, valuations, reconciliations, cash forecasting, corporate actions, client reporting and information delivery. By outsourcing these functions to State Street, clients are able to free up resources to focus on expanding their product offerings and increasing their global reach, whilst taking advantage of our integrated, scalable platforms without incurring long-term technology expenditures.
Reporting to the Head of Program Delivery IMS APAC, the Project Manager has responsibility for managing projects associated with:
onboarding new Middle Office Clients
strategic initiatives for existing Middle Office Clients
Responsibilities
Instill a detailed status reporting process, including reporting against plan
Track the actual project expenses (including business & IT staff and travel costs) and compare/manage to the original project budget.
Creating the proper governance model, organization structure and culture across key areas of business and technology to enable the achievement of strategic/tactical goals.
Prepare the following baseline artefacts; Project Brief, Project Initiation Documentation, Project Plan
Manage the IMS Project Plan ensuring that tasks are planned, resources are allocated and due dates are clear. Focus on prioritization and key planning decisions.
Manage the scope of the project, including tracking the status of the IT development activities.
Maintain Issues and Risk Registers and Lessons Learned Log
Work with Test Manager and Conversion Manager, to ensure that the solution/processes and conversion tools are adequately tested prior to go-live.
Work with the Operational Readiness Manager to ensure that the business, systems and client are operationally ready prior to the go-live.
Work with IT in order to ensure alignment and delivery in line with the agreed plan.
Work with the other Project Managers across the Program, to ensure that the business workstreams are aligned and that our efforts are coordinated.
Work with the Client’s Middle Office Lead in order to ensure the services are provided in line with the agreed scope of services.
Defining success criteria (contractual milestones, financial targets, risk mitigation, etc.) for each client integration and working closely with the Program Manager/Unit Head to actively manage the achievement of these objectives.
Directing development of customized end-to-end client transition plans and ensuring management of client conversions to State Street’s operating model and technology.
Driving strategic direction for IMS global deal integration, ensuring consistent processes and tools.
Manage and report on project issues/risks
Establish Change Control and escalation procedures in order to limit scope creep.
Lead and motivate the project team and ensure that behavioural expectations of the team members are established.
Education & Experience
Bachelor’s degree or equivalent
Project Management certification such as PMI/PRINCE2, although not mandatory will be highly regarded.
Proven track record in change management/project management, with a minimum 5 years project management/business analysis experience.
Excellent understanding of Middle Office Operations processes and deliverables.
Proven ability to communicate in a clear, concise and professional manner at all levels of staff including IT developers, product and platform owners and senior management.
Strong time management and project management skills.
Demonstrated market knowledge and understanding of the required controls.
Industry certification will be highly regarded. (e.g. FINSIA, CFA)
Proven relationship and client management skills
A focus on risk excellence, with proven risk evaluation, mitigation and management skills
An ability to work effectively with senior management/stakeholders
Work Characteristics
Bachelor’s degree or equivalent
Project Management certification such as PMI/PRINCE2, although not mandatory will be highly regarded.
Proven track record in change management/project management, with a minimum 5 years project management/business analysis experience.
Excellent understanding of Middle Office Operations processes and deliverables.
Proven ability to communicate in a clear, concise and professional manner at all levels of staff including IT developers, product and platform owners and senior management.
Strong time management and project management skills.
Demonstrated market knowledge and understanding of the required controls.
Industry certification will be highly regarded. (e.g. FINSIA, CFA)
Proven relationship and client management skills
A focus on risk excellence, with proven risk evaluation, mitigation and management skills
An ability to work effectively with senior management/stakeholders","IMS Project Manager, Business Analyst, AVP",105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
849,"Opportunity for long term career progression; market leader in its sector. Be a trusted business partner to supply chain and logistics.

Role Overview
Reporting to the Commercial Manager, the Business Analyst will be responsible for developing and building best practise using Cognos Reporting. You will work closely with finance and operations to provide key insight through effective communication and assisting stakeholders with decision making and reporting.
The Business Analyst will have enormous progression potential within the business. With a culture of fostering talent, the business ensures that talented employees are trained both laterally across the business as well as supporting promotions wherever possible.

Responsibilities
This role requires a person who is intimately familiar at an expert level with Cognos Report Studio (v10 or v11 preferred)
Interrogate data sources
Design & build reporting outputs
Build dashboards
Develop a full suite of outputs from existing tables & systems

Candidate Profile
You have experience using Cognos reporting and feel comfortable building and developing reporting. This is NOT a Cognos system infrastructure role therefore candidates with this skill is not necessary. Your prior experience with business analysis means that you feel comfortable and confident interacting with operations and finance teams. Your personality is energetic and strong and you have robust influencing skills. This role would suit someone that is seeking to enter a tier 1 organisation with excellent training and development as well as career progression opportunities.

Culture & Benefits
This globally listed giant is behind some of most popular brands in the country. This multi-billion dollar organisation is focused on maintaining a culture of high talent and people development and as a result the organization boasts one of the highest retention rates in the industry. The culture is dynamic with the organisation boasting continuous promotion from within. As a market leader within their space in both Australia and globally, this organisation is ready for the next level of growth and requires a talented business partner to drive insights and value

Apply
If this sounds like you, please send your resume by clicking the ""apply"" link below addressing Richard Skaf quoting reference number RSBA4297 in the subject line.",Business Analyst,107800.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  North Ryde 
850,"Long Term Contract
Excellent rates
Parramatta
About The Role
You will be joining an existing team where products and services will be designed to deliver value, realise efficiencies and enable transformational change. Solutions will be delivered by Data & Analytics product teams, this includes data on-boarding and exchange, development of risk and assurance models, data visualisation and the delivery of business reinvention initiatives.
Apply technical expertise to produce SQL scripts and use other data analytical software tools
Accountable for a data analysis function and managing complex stakeholder requests
Utilise advanced and complex analytic techniques and methods independently to develop technological solutions
Gather and investigate data and statistical information from a variety of sources to undertake business system and solution design
Plan, coordinate and prepare reports and risk profiles on complex matters
Capitalise on opportunities, identifying improvements to how work is performed and escalate the more strategic issues
Apply effective and appropriate project management, research, design and systems development methodologies to achieve business outcomes
Requirements
Highly proficient SQL skills
Experience in delivering Data and Analytics solutions to support business decision making,
A demonstrated commitment to self-development, accountability and skills transfer.
Demonstrated experience in development of risk and assurance modelling
Will be required to apply for a Baseline clearance (or already hold one).
To be eligible for this opportunity, you must be an Australian citizen.
For more information, please contact Pooja Gupta on 02 9409 4837 quoting ref 188361.",IT Senior Data Analyst,125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,  Parramatta 
851,"Passionate about solving business problems with Data ? Bring that energy here !
Data Science team of 9 embedded in the business
Data Driven Culture
The Business


This Global Bank have a reputation for innovation and excellence, and are down the maturity path in Data, harnessing Big Data & Data Science to solve problems across the organisation and automate Data Science applications within the business.


The Job


Working form state of the Art CBD offices, you will be joining a high performing team of 9 building Data Science Applications.

Solicit Use Cases
Define Business metrics
Feature modelling
Embed solution operationally
In short you will be identifying and solving business problems with predictive analytics.


The person:


Passionate about technology - inspired by exploring and experimenting with the latest innovations to identify cutting edge practices to improve and add capabilities to our ecosystem.
Data expert - experience working in cloud environments. Regular attendee of Data Science or Analytics meet-ups to learn about latest developments from other early adopters and like-minded experts.
Self-starter - Possess initiative to proactively identify and resolve technical issues or opportunities, and relentless and passionate to get an impressive job done.
Mission motivated - knack for finding solutions that reduce team effort and obsessed with streamlining development and operations.



Required technical qualifications:


Master’s Degree in relevant field, such as computer science, applied statistics or mathematics or a related quantitative discipline
Industry experience in large scale data mining and analytics
Experience with data analysis & visualization using tools such as R, Python, Tableau, Alteryx or SAS etc.
Experience implementing supervised and unsupervised machine learning techniques, classification, clustering and collaborative filtering
Ability to track down complex data integration issues, evaluate different algorithmic approaches, and analyse data to solve problems
Comfortable in a fast-paced, agile environment and motivated by complex technical and business challenges
Ability to quickly adapt to new technologies, tools, and techniques


Desired technical qualifications (nice to have):


Financial Services experience
Experience in big data analytics such as Hadoop, Hive, NoSQL etc.
Experience producing and rapidly iterating minimum viable product demonstration/prototype
If you can demonstrate a good capability and passion for data - lets talk.


Apply online to start the conversation",Data Scientist,125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,  Sydney 
853,"Seeking a Strong Master Data Analyst to support all aspects of the master data management – including the identification, collation and cleansing of master data from a multitude of sources.

Communication is a key aspect for this role to work with a variety of stakeholders across the business.

The successful candidate will have …
Strong experience working as a Master Data Analyst with SAP EAM or equivalent Asset Management module
Thorough functional knowledge of PM, MM modules and Linear Reference Patterns (LRP)
Extensive experience in master data management of enterprise assets of construction industry or similar
Experience in identifying master data source, consolidation, normalisation, error detection & correction, distribution, classification, enrichment and governance
Ability to perform data cleansing, gathering, creation cleansing routines and assisting data owners for data validation
Ability to write/tune SQL (PL/SQL) for data extraction and validation
Ability to perform data migration tasks and assist data owners in filed mapping, value mapping and data construction
Ability to define data standards and create and load sample data set and ability to develop master data management plan and on-going maintenance procedures
Understand complete data migration cycle and ability to work on Test, Dress Rehearsal and Go-Live phases",Master Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,  Sydney 
856,"A role has become available within a leading global financial organisation for a Static Data Analyst.

Your daily responsibilities in this role will include:
Set up of securities
Data maintenance across of all asset classes
Responding to all client queries and requests in a timely manner.
Daily reconciliation of files in the ex-period and ensuring payments are made accurately.
Liaising with counterparties/brokers regarding outstanding entitlements.
In order to be successful in applying for this role you will have:
A minimum of 1-2 years experience in a static data.
SQL & VBA is preferred
Sound understanding of financial markets, derivatives, equities and FI is a must.
Strong communication skills.
Ability to work in a deadline driven environment.
If you are interested in this position please apply now.",Asset Administration - Static Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,  Sydney 
860,"Technology, , Sydney
superannuation
Title: Data Analyst / Insight Analyst
Location: Sydney
Salary: $75,000 plus super
Type: Fixed term contract

I am currently working with an exciting company who's vision is to become the global leader in loyalty analytics and management. The client has proven experience in partnering with enterprise companies to deliver leading loyalty programs across their region.
My client prides itself in giving its consultants the opportunity to innovate and bring your ideas to life. They encourage you to increase and expand your own capabilities and experience, whether that's using a range of new technology, tools or techniques.
This an an opportunity to work with and learn from some of the best in the business whilst expanding your network with a global leader in their field.

The Data Analyst / Insight Analyst will be responsible for understanding the clients data requirements and requests and then translating into an effect data posture for the businesses analysts and creative and campaign team.

Responsibilities:
End to end data migration from SAS into SQL/R/Tableau
Tableau reporting
Manage all operational data processes
Documentation

Requirements
2-4 years of experience
Comfortable migrating data
SQL, SAS, R, Tableau
Good communication skills
Ability to work well in a team

If you are interested in the position, please apply and I will be in touch.
Salt is acting as an Employment Business in relation to this vacancy.

Apply Now
Email your CV to Sam Phillips, or use the application form on this page.","Insight Analyst / Data Analyst - FTC Sydney, Australia",75000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,  Sydney 
865,"Dynamic Working Environment

Career Progression

About Our Client
My client is looking for a Business Data Analyst to join their dynamic and fast paced team on a full time basis. You will be working autonomously across the business analysing data to improve business operations, customer satisfaction and revenue.

Job Description
Key responsibilities

Prepare data analysis reports on buying behavior and product demands and trends
Generate data reports and analysis around customer enquiry, sales, marketing, product and stock analysis
Improve business performance
Generate platforms for users to input data that populates auto generated reports
Provide written/verbal reports to internal/external stakeholders across the business
Help the business achieve KPIs and measure the success of lead conversion and CRM activities
The Successful Applicant
Key requirements

Previous experience in a sales and/or stock management
Proficient in excel formulae, VBA, DB design, user forms and macros
Experience with MS Excel, DBMS and CRM Systems
Query and report development
Experience in VBA and dashboard generation
Exceptional attention to detail
Thorough understanding of IAM operations, data analysis/reporting and process improvement
Ability to work in a fast paced environment autonomously
Excellent written and verbal communication skills
Proven ability to generate management reports for senior executives
What's on Offer
Full time/Permanent role

Attractive Salary Package

Career Progression

Dynamic Working Environment

Contact:
Shahin Shamsarya",Business Data Analyst,85000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,  Sydney 
869,"Are you an Alteryx and tableau guru

Consistently one of the best organisations in the world this organisation is looking for an Alteryx and tableau analyst to work on a series of new and exciting projects.

This is an amazing opportunity for the right person with an organisation who are known for looking after employees with development, perks and bonuses. You will be working closing with a technically strong, but also commercially astute manager who is looking for candidates with strong ETL experience and strong alteryx experience.

The ideal candidate:

Strong ETL experience is essential

Good alteryx experience

Must have tableau experience
Experience with the MSBI stake with excellence in SSAS PowerQuery, PowerPivot, PowerBI (Traditional or cloud) held in high regard.

The ability to tell a story with data through engaging and insightful Data visualisations

Experience with financial services or coming from a financial background is high regarded.

So apply now to work at one of the best places around in this amazing contract role opportunity. For more information on the market and all things data email lyoung@morganmckinley.com.au or if you're really, really good call me on 0289863147

Morgan McKinley is acting as an Employment Agency in relation to this vacancy.",Alteryx and tableau - Data Analyst,110000.0,Data Analyst,Normal,Data AnalystNormal,low,NSW,  Sydney Central Business District 
870,"Retail banking regulatory change
Senior Business Analyst
6 months, $700-800 plus super per day
My banking client provides an awesome workplace in which to deliver projects, with a cohesive and collaborative culture they're rightly proud of. This program of work has a reporting flavour to it so any candidates with strong Tableau skills will be well thought of, though the team also needs a mix of complementary retail banking, regulatory change and data expertise so any blend of these skills within the team should lead to good delivery outcomes.

To be a success in this role you will need the following skills and experience:

At least 5 years of experience as a Senior Business Analyst with demonstrable experience delivering outcomes as both an autonomous Senior BA and as part of a cohesive delivery team
Experience in the application of business analysis tools and techniques in both Waterfall and Agile environments
Facilitation of business requirements workshops involving participants from senior management to business users
Effective stakeholder engagement across IT and the business
Experience working on complex organisational change projects/programs
Experience with risk/compliance/regulatory change based projects
Retail banking experience would be a bonus
Initial contract role is for an immediate/ASAP start for 6 months. Daily rate is in the $700 to $800 plus super per day range.
For further information on this role or to confidentially apply, please contact Mark Wood on 02 8227 9200 or apply directly via the Apply for this job button. Only WORD FORMAT resumes will be accepted.",Business Analyst,36750.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
872,"Are you are Senior Business Analyst with a passion for working on Agile projects? Are you able to prove in depth knowledge and clearly articulate your experience of working to the Agile deliverables? Do you thrive in high demanding projects, where you are given the opportunity to prove your success through your deliverables in a self driven environment? This is the role for you!!!!

Attitude and focus are going to be the key drivers in this critical hire. You will be working with a highly driven team, and they are looking for a Business Analyst who takes initiative and enjoys taking on responsibility and being challenged!

Your communication and presentation skills will need to be perfect as you will be dealing with high level management and key project stakeholders, this is a business focused role!

You will be working on exciting, innovative projects within the security space, any prior project experience within security, tokenisation, data base security, etc will be highly advantageous!

To be successful in this role you MUST have:
Proven career history as a functional focused business analyst
Project experience within security, tokenisation, data base security, etc will be highly advantageous but not essential
Agile - Scrum/sAFE methodology project experience end to end is essential
Experienced with tools including Confluence and Jira
Exceptional communication skills both written and verbal
Strong documentation skills working with functional and technical specifications
Proven skill, ability and confidence in managing and working directly with stakeholders to workshop ideas and create user stories
BABOK/IIBA qualifications will be highly regarded
Ability and experience of working to fast and dynamic project pace, rise to challenges and be motivated by delivery
I look forward to your application!",Functional Business Analyst - Agile - Stakeholder Management - North Sydney,105000.0,Business Analyst,Normal,Business AnalystNormal,med,NSW,  Sydney 
876,"Big Data Engineer (Data Scientist)
Reference:
BBBH1409
Location:
Sydney CBD, New South Wales
Job Type:
Contract
Date Posted:
18/10/2018
Surry Hills location
Multiple Contract roles available - Competitive daily rates
Be a part of an exciting and cutting-edge project
12 Month contract (up to 36-months' worth of work)
Big Data Engineers wanted
About the Company:

One of Australia's leading retail organisations, based in Surry Hills is undergoing a huge BI transformation project and are looking for driven data engineers to become a key member of their Data Science team.

About the Role:

The purpose of this role is to support the Data Science team to develop, implement and optimize analytical and predictive models to deliver better products. It will be your job to:

Work closely with key stakeholders to understand business questions and execute data science projects that deliver business solutions.
Data discovery, acquisition, extraction, ingest, transformation and modelling of a variety of data sources. Preparing data models for analytical modelling and/or reporting
Managing the quality and timely execution of data related components of projects
Responsible for complete and accurate documentation of all development
Engage with business partners and delivery teams to ensure algorithms are delivered and implemented into production systems
Interpret analysis and modelling results in a business context and provide commercially focused recommendations to support business decisions.
Provide support to the business in the preparation and provision of data sets to support ad-hoc/be-spoke strategic and tactical decision making
Internal satisfaction benchmark from key stakeholders.
What you need to succeed:

3+ Years of data engineering experience
3+ Years of SQL, Spark, Scala & Python experience
Experience working with Data Science teams in the preparation of data sets for machine learning and advanced analytic modelling
Significant knowledge of data modelling techniques and understanding of different data structures and their benefits and limitations under particular use cases
Experience with acquisition of external data sources through API, web scraping or similar
A minimum of Bachelor's degree in computer science, computer engineering, or similar technical discipline, with Masters or PhD qualifications in these domains considered highly desirable
If you meet the criteria, please apply below!
To your next career step….",Big Data Engineer (Data Scientist),125000.0,Data Scientist,Normal,Data ScientistNormal,med,NSW,  Sydney Central Business District 
877,"Australias leading financial services brand
Market leading remuneration and benefits
Senior Data Analyst role, with vast career options
EBC are searching for an experienced business / data analyst to work for one of Australias leading financial services brands. This is a business facing role working closely with Credit Risk and Information Management teams to ascertain data quality issues and process them in the correct manor in accordance with the newly established Data Documentation framework.

Responsibilities

Support development and maintenance of data principles and core requirements in conjunction with Data Managers and Executive Data Owner delegate
Drive and deliver Data Quality by applying data issue prioritisation
Ensure data issues are correctly documented and captured in the appropriate data issues register
Identifying opportunities and building business cases for data issue remediation
Support consistency between enterprise and domain level data issues management by applying the Data Issues Management Standard, processes and prioritisation
Support the Metadata change approval process
Support upkeep of the Enterprise Conceptual Data Model for the assigned data domain
Assist in the delivery of an operational control framework for managing business data
Delivery of knowledge management for data and systems through improved capture and continuous improvement of data flows, data dictionaries, master functional specifications and standard operating procedures
Engagement with business partners, internal and external validators on data, issue management and advancement activities


Skills

5+ years of demonstrable experience in Data Management
Education in Data Management, Analytics and / or Computer Science is an advantage
Experience in programs of work from inception to implementation to achieve transformational / behavioural change
Information Management and Data analysis
Experience working with and influencing stakeholders in relevant domains
Understanding of business performance, information analytic concepts and numerical proficiency
Understanding of how data connects and moves through the business
Job shares and flexible working arrangements will be considered
For further information on this role or to confidentially apply, please contact Will Reemer on 02 8227 9200 or apply directly via the Apply for this job button. Only WORD FORMAT resumes will be accepted.",Senior Data Analyst,125000.0,Data Analyst,Senior,Data AnalystSenior,med,NSW,  Sydney 
